COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
The United Kingdom,GBR,EURO,OWID,2021-03-30,35014074,30905538,51.6,45.526,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Chile,CHL,AMRO,REPORTING,2021-03-26,9403849,6202268,49.193,32.445,"Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,2
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2021-03-12,,,,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2021-02-18,3
Bahrain,BHR,EMRO,OWID,2021-03-30,755549,502541,44.403,29.534,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4
Zimbabwe,ZWE,AFRO,REPORTING,2021-03-26,44135,,0.297,,Beijing CNBG - Inactivated,,1
Iceland,ISL,EURO,REPORTING,2021-03-23,66083,45355,18.1,12.456,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-28,3
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2021-03-17,17130,16000,0.235,0.22,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2020-11-25,3
Malawi,MWI,AFRO,REPORTING,2021-03-26,111628,,0.584,,SII - Covishield,2021-03-11,1
Austria,AUT,EURO,REPORTING,2021-03-30,1569200,1151847,17.6,12.941,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-28,3
Sudan,SDN,EMRO,REPORTING,2021-03-16,270,,0.001,,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-09,2
India,IND,SEARO,REPORTING,2021-03-25,54665820,46254058,3.961,3.352,"Bharat - Covaxin,SII - Covishield",2021-01-16,2
Isle of Man,IMN,EURO,OWID,2021-03-30,49787,34480,58.551,40.549,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Ecuador,ECU,AMRO,REPORTING,2021-03-26,191179,152526,1.084,0.865,"Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-21,2
Bahamas,BHS,AMRO,REPORTING,2021-03-26,110,110,0.028,0.028,SII - Covishield,2021-03-13,1
Slovakia,SVK,EURO,REPORTING,2021-03-30,938290,681185,17.2,12.481,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-04,3
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2021-03-28,200356,,0.239,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V",2021-02-09,4
